AREA NAME,Year,crime_category_v2,count
Wilshire,2021,VANDALISM,913
Wilshire,2021,VEHICLE_CRIME,893
Wilshire,2021,VIOLENT_CRIME,2451
Wilshire,2022,OTHER,772
Wilshire,2022,PROPERTY_CRIME,5743
Wilshire,2022,SEXUAL_CRIME,298
Wilshire,2022,VANDALISM,895
Wilshire,2022,VEHICLE_CRIME,951
Wilshire,2022,VIOLENT_CRIME,2502
Wilshire,2023,OTHER,778
Wilshire,2023,PROPERTY_CRIME,6240
Wilshire,2023,SEXUAL_CRIME,282
Wilshire,2023,VANDALISM,892
Wilshire,2023,VEHICLE_CRIME,983
Wilshire,2023,VIOLENT_CRIME,2522
Wilshire,2024,OTHER,180
Wilshire,2024,PROPERTY_CRIME,2672
Wilshire,2024,SEXUAL_CRIME,102
Wilshire,2024,VANDALISM,337
Wilshire,2024,VEHICLE_CRIME,519
Wilshire,2024,VIOLENT_CRIME,605
